MOLECULE_NAME,SMILES,Dielectric_Constant
quinine,COc1ccc2nccc([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)c2c1,10
thip,O=C1NOC2=C1CCNC2,10
tpq,N[C@@H](CC1=CC(=O)C(=O)C=C1O)C([O-])=O,10
odcb,Clc1ccccc1Cl,9.99
o-dichlorobenzene,Clc1ccccc1Cl,9.98
1_2-dichlorobenzene,Clc1ccccc1Cl,9.93
2-chloro-2-methylpropane,CC(C)(C)Cl,9.9
dichlorobenzene,Clc1ccccc1Cl,9.9
nylon_66,CCCCCCNC(=O)CCCCC(N)=O,9.8635
pnp,Oc1ccc(cc1)[N+]([O-])=O,9.8
polyepichlorohydrin,O\C=C/CCl,9.8
2-heptanol,CCCCCC(C)O,9.72
