MOLECULE_NAME,SMILES,log_fu
103226686,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,-1.795880017
103228169,CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C2=O)C=C(C=C3)OCCN(CC)CC,-0.286257522
103231552,CN(C)CCNC1=CC(=NC2=CC=CC=C21)C3=CC=NC=C3,-0.8467951
103232002,C1CN(CCN1C2CC3=CC=CC=C3C2)C4=C5C(=CC=C4)OCCO5,-1.581698709
103232282,C1=CC=C2C(=C1)NC(=N2)CCC3=NC4=CC=CC=C4N3,-0.795880017
103232921,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,-0.276708554
103233356,C1CN(CC2=CC=CC=C21)C3=CC=NC=C3,-0.365119859
103234498,CN1C(=NC2=C(N=C(N=C21)C#CC3(CCCC3)O)N)C4=CC(=CC=C4)F,-0.924818145
103234592,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,-0.26744542
103234893,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,-1.087246696
103235071,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,-2.677780705
103236856,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)Cl,-2.30980392
103238871,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,-0.431094585
103239932,C1=CC=C(C=C1)COC2=CC=C(C=C2)CC(=O)NO,-1.19859629
103240316,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,-2.769551079
103241019,C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)N)Cl,-1.321481621
103243148,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,-0.051489231
103245522,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,-1.19859629
103246179,C1=CC(=C(C(=C1)Br)C2=C(N=C3C(=C2)C=NC(=N3)N)N)Br,-0.942714356
103246205,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,-0.137212902
103248420,C1=CC(=CC=C1NC(=O)C2=C[N+](=C(C=C2)Cl)[O-])F,-0.332080315
103249306,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,-2.356547324
103250068,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,-1.886056648
103252336,C[C@H](CC1=CC=CC=C1)N(C)CC#C,-0.567190995
103256438,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,-1.924453039
103256585,C1COCCN1C2=NC=C(C=C2)C3=NC4=NC=NC(=C4C(=C3)C5=CC(=CC=C5)Br)N,-1.46470588
103257697,CS(=O)(=O)NC1=CC2=C(C=C1)N=C(N2)CC3=CC=C(C=C3)OC4=CC=CC=C4,-2.259637311
103261008,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)O[C@H]3CCOC3)C4=CN=CO4,-1.886056648
103266652,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,-0.721475035
103269760,CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(C=C4)OS(=O)(=O)C(F)(F)F,-1.446116973
103270087,C[C@@](C(=O)NC1=C(C=C(C=C1)S(=O)(=O)C)Cl)(C(F)(F)F)O,-0.406381692
103271997,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,-2.113509275
103273527,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O,-2.552841969
103274161,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,-1.806875402
103275460,COC1=CC=CC(=C1OC)[C@@H](C2CCN(CC2)CCC3=CC=C(C=C3)F)O,-0.186685941
103276854,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,-1.292429824
103280620,C1COCCC1(CS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C(=O)NO,-1.698970004
103281992,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,-1.235823868
103282261,CN(CC(=O)O)NC(=O)C[C@@H](C[C@H](CN)O)N,-0.058637664
103283058,C1=CC=C(C=C1)CCOCCCS(=O)(=O)CCNCCC2=C3C(=C(C=C2)O)NC(=O)S3,-1.254925208
103288599,CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)NC4=C(C=CC=N4)[N+](=O)[O-],-0.863913903
103288972,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,-0.721475035
103292815,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,-2.657577319
103292970,CC(C)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=CC=C3,-0.538351432
103292984,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,-3.301029996
103293038,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,-1.806875402
103293043,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,-2.055517328
103293748,COC1=CC(=C(C=C1)OC)C(CN)O,-0.107849722
103298269,C1CCC(C1)[C@H](C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C(=O)O,-2.823908741
103298695,C1=CC=C(C=C1)C2=NNC3=CC=CC=C32,-1.512861625
103301322,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,-1.11463878
103303305,CC1N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N,-0.126737541
103303707,CNC1=CC=C(C=C1)C2=NC3=C(S2)C=C(C=C3)O,-1.954677021
103306370,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N,-2.229147988
103307981,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,-0.960585881
103309883,C1=CC2=C(C=C1F)SC(=N2)N,-0.795880017
103311872,CC(C)NC(=O)C1=CC2=C(C=C1)C(=NC(=N2)N3CCOCC3)NC4=CC=C(C=C4)Cl,-2.292429824
103313167,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NS(=O)(=O)C,-0.07109231
103314113,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,-2.397940009
103315066,CN(C)C(=O)[C@@H]([C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O,-1.659555885
103319568,CCOC(=O)C1=CNC2=C(C1=O)C=CC=C2N,-0.697236292
103320031,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,-2.468521083
103324898,C1C(N=C(O1)C2=CC(=C(C=C2)F)C(F)(F)F)C(=O)NO,-1.077793723
103325890,C[C@H]([C@@H](C1=CC=C(C=C1)O)O)N2CCC(CC2)(C3=CC=CC=C3)O,-0.166661611
103329335,CCCC1=C(C(=CC(=C1)C2=N[C@H](CO2)C(=O)NO)OC)OC,-1.245651664
103329618,CCO/N=C/C1=CC=C(C=C1)OCCC2CCN(CC2)C3=NN=C(C=C3)C,-2.552841969
103331380,CN(CCCOCCOCCC1=CC=CC=C1)CCC2=C3C(=C(C=C2)O)NC(=O)S3,-1.005243055
103331440,CN(CCNCCC1=C2C(=C(C=C1)O)NC(=O)S2)C(=O)CCOCCC3=CC=CC=C3,-0.969400278
103334264,CC(C)(C(=O)N[C@H](COCC1=C(C=C(C=C1)F)F)C(=O)N2CCC3=NN(C(=O)[C@@]3(C2)CC4=CC=CC=N4)CC(F)(F)F)N,-0.596707855
103335836,C1CN(CCC12NC3=C(C=CC(=C3C(=N2)N)F)F)C(=O)C4=CN=C(C=C4)C#N,-0.872571222
103338073,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,-0.881074247
103338373,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,-2.638272164
103342361,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O,-0.376647318
103344983,C[C@@H](C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3N(C1=O)C)NC(=O)CC4=CC(=CC(=C4)F)F,-2.004364805
103353725,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,-1.189095719
103354844,C1CCC(CC1)C2(CCN(CC2)C(=O)[C@@H](CC3=CC=C(C=C3)Cl)NC(=O)[C@H]4CC5=CC=CC=C5CN4)CN6C=NC=N6,-2.15490196
103355754,COC1=CC=CC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,-1.2644011
103360381,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)N2,-1.924453039
103362798,CC(C)C(=O)NC1=NC(=CC2=CC=CC=C21)C3=CC=CC=N3,-1.610833916
103364525,CC(=O)NCC1=CC(=CC=C1)C(=O)O,-0.770574152
