MOLECULE_NAME,SMILES,logEpsilon_minus_1
anisaldehyde,COc1ccc(C=O)cc1,1.170261715
tetraglycol,OCCOCCOCCOCCO,1.167317335
hoch2ch2oh,OCCO,1.165244326
ccc,CCC,1.164352856
diethyl_sulfite,CCO[S](=O)OCC,1.164352856
2-methyl-1-butanol,CCC(C)CO,1.163608563
1_2-hexanediol,CCCCC(O)CO,1.161368002
hexane-1_2-diol,CCCCC(O)CO,1.161368002
mct,Cc1ccc(O)c(O)c1,1.161368002
propiophenone,CCC(=O)c1ccccc1,1.161368002
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,1.161368002
tween_20,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.161368002
tween_40,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.161368002
2-pentanone,CCCC(C)=O,1.159867847
tert-amyl_alcohol,CCC(C)(C)O,1.159567193
ethyl_lactate,CCOC(=O)C(C)O,1.158362492
diacetone_alcohol,CC(=O)CC(C)(C)O,1.157758886
isoamyl-alcohol,CC(C)CCO,1.155336037
3-methyl-1-butanol,CC(C)CCO,1.151982395
iso-butanol,CC(C)CO,1.149219113
1–pentanol,CCCCCO,1.146128036
benzonitrile-isooctane,CCCCCC(C)C.N#Cc1ccccc1,1.146128036
butyl_methacrylate,CCCCOC(=O)C(C)=C,1.146128036
cyclo-hexanol,OC1CCCCC1,1.146128036
cyclohexanol,OC1CCCCC1,1.146128036
diethylene_glycol_monomethyl_ether,COCCOCCO,1.146128036
lactone,Cc1oc2c(C)c3OC(=O)C=C(C)c3cc2c1,1.146128036
pentanol,CCCCCO,1.139879086
isoamyl_alcohol,CC(C)CCO,1.136720567
2-hexanone,CCCCC(C)=O,1.13225969
acrylonitrile_butadiene,C=CC=C.C=CC#N,1.130333768
cinnamylalcohol,OCC=Cc1ccccc1,1.130333768
dfb,OCc1cccc(F)c1F,1.123851641
9-cyano-phenanthrene-trans-anethole,COc1ccc(\C=C\C)cc1.N#Cc2cc3ccccc3c4ccccc24,1.113943352
aibn,CC(C)(N=NC(C)(C)C#N)C#N,1.113943352
nonanenitrile,CCCCCCCCC#N,1.113943352
pyruvate,CC(=O)C([O-])=O,1.113943352
saquinavir,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4,1.113943352
tween_60,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.113943352
n-pentanol,CCCCCO,1.111262514
1-pentanol,CCCCCO,1.11058971
amyl_alcohol,CCCCCO,1.11058971
pentan-1-ol,CCCCCO,1.11058971
salicylaldehyde,Oc1ccccc1C=O,1.11058971
diaminoethane,CC(N)N,1.10720997
octanenitrile,CCCCCCCC#N,1.105510185
hexan-1-ol,CCCCCCO,1.102090526
2-phenylethanol,OCCc1ccccc1,1.100370545
occn,NCCO,1.100370545
cyclopentanone,O=C1CCCC1,1.099680641
tween_80,CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,1.096910013
ethylammonium_nitrate,CC[NH3+].[O-][N+]([O-])=O,1.093421685
triethylphosphate,CCO[P](=O)(OCC)OCC,1.093421685
cinnamaldehyde,O=CC=Cc1ccccc1,1.089905111
hexanol,CCCCCCO,1.089198367
hexane-ethanol,CCO.CCCCCC,1.086181805
n-hexanol,CCCCCCO,1.085112113
isopropyl_acetate,CC(C)OC(C)=O,1.084576278
4-methyl-2-pentanone,CC(C)CC(C)=O,1.083144143
methyl-iso-butyl_ketone,CC(C)CC(C)=O,1.083144143
methyl_isobutyl_ketone,CC(C)CC(C)=O,1.083144143
methyl_isobutylketone,CC(C)CC(C)=O,1.083144143
methylisobutyl_ketone,CC(C)CC(C)=O,1.083144143
methylisobutylketone,CC(C)CC(C)=O,1.083144143
mibk,CC(C)CC(C)=O,1.083144143
benzyl_alcohol,OCc1ccccc1,1.08278537
benzylalcohol,OCc1ccccc1,1.08278537
ch3cl,CCl,1.08278537
hexone,CC(C)CC(C)=O,1.08278537
keto_azoxybenzene,[O-][N+](=NC1C=CC=CC1=O)c2ccccc2,1.08278537
phenylmethanol,OCc1ccccc1,1.08278537
1-ethanol,CCO,1.081887139
1-hexanol,CCCCCCO,1.079181246
vanillyl_alcohol,COc1cc(CO)ccc1O,1.079181246
pyridine,c1ccncc1,1.075911761
ethylene-diamine,NCCN,1.075546961
ethylenediamine,NCCN,1.075546961
ethyl_benzoylacetate,CCOC(=O)CC(=O)c1ccccc1,1.071882007
dien,NCCNCCN,1.065579715
transcutol,CCOCCOCCO,1.064457989
heptanone,CCCCCC(C)=O,1.06069784
phosphotyrosine,N[C@@H](Cc1ccc(O[P](O)(O)=O)cc1)C(O)=O,1.06069784
triazole,[nH]1ccnn1,1.06069784
2-methyl-2-propanol,CC(C)(C)O,1.060131
tba,CCCC[N+](CCCC)(CCCC)CCCC,1.059563418
peg_400,OCCO,1.056904851
tert-butanol,CC(C)(C)O,1.056904851
benzeneethanol,OCCc1ccccc1,1.053462605
cysteamine,NCCS,1.053078443
ethyl_propionate,CCOC(=O)CC,1.053078443
2-octanone,CCCCCCC(C)=O,1.045322979
heptan-1-ol,CCCCCCCO,1.045322979
durene,Cc1cc(C)c(C)cc1C,1.044618146
2-pentanol,CCCC(C)O,1.04453976
mellitene,Cc1c(C)c(C)c(C)c(C)c1C,1.044226077
glycolate,OCC([O-])=O,1.04316572
3-methyl-2-butanol,CC(C)C(C)O,1.042969073
m-cresol,Cc1cccc(O)c1,1.041392685
triton_x-100,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,1.041392685
benzenepropanol,OCCCc1ccccc1,1.040206628
4-methylpyridine,Cc1ccncc1,1.039810554
2-heptanone,CCCCCC(C)=O,1.039414119
mnt,CNc1ccccc1C(=O)O[C@H]2C[C@@H](O[C@@H]2CO[P](O)(=O)O[P](O)(O)=O)n3cnc4c(N)ncnc34,1.039414119
t-butyl_alcohol,CC(C)(C)O,1.029383778
3-pentanol,CCC(O)CC,1.023663918
heptanol,CCCCCCCO,1.022222105
dap,Nc1cccc(N)n1,1.021189299
phenol,Oc1ccccc1,1.017033339
polyethylene_glycol,OCCO,1.017033339
o-dianisidine,COc1cc(ccc1N)c2ccc(N)c(OC)c2,1.012837225
octan-1-ol,CCCCCCCCO,1.012837225
hexane-acetone,CCCCCC.CC(C)=O,1.012626351
tert-butyl_alcohol,CC(C)(C)O,1.008600172
2-hexanol,CCCCC(C)O,1.004321374
aea,CCCCC/C=C\C\C=C/C/C=C\C\C=C/CCCC(=O)NCCO,1
benzene_acetonitrile,CC#N.c1ccccc1,1
t-butanol,CC(C)(C)O,0.995635195
benzylbenzene,C(c1ccccc1)c2ccccc2,0.99056083
diphenyl,c1ccc(cc1)c2ccccc2,0.989672248
bibenzyl,C(Cc1ccccc1)c2ccccc2,0.988335956
3-methylpyridine,Cc1cccnc1,0.98721923
decanenitrile,CCCCCCCCCC#N,0.982271233
1-heptanol,CCCCCCCO,0.980480606
cetane,CCCCCCCCCCCCCCCC,0.978773784
ethylene_dichloride,ClCCCl,0.977723605
methylcyclopentane,CC1CCCC1,0.977380606
pentamethylene,C1CCCC1,0.977014441
ethylcyclobutane,CCC1CCC1,0.976922851
ethylcyclopropane,CCC1CC1,0.976189439
triptane,CC(C)C(C)(C)C,0.976120618
3oh,OCCC(O)=O,0.975282422
1_2_dichloroethane,ClCCCl,0.974741905
1_2-dichloro-ethane,ClCCCl,0.973127854
1_2-dichloro_ethane,ClCCCl,0.973127854
1_2-dichloroethane,ClCCCl,0.973127854
clch2ch2cl,C.Cl.CCl,0.973127854
